SourceCode;SourceName;Li+;NH4+;Na+;Mg2+;K+;Ca2+;Mn2+;Fe;(HCO3)-;(NO3)-;F-;(SO4)2-;Cl-;d2H;d18O
Mor;Morava;4.039285694;0.023859895;14.08793101;5.558965535;4.176896564;41.31482782;38.55555556;0.393076924;117.7020695;9.771379406;0.108229401;31.48393098;18.5765173;-69.79615878;-10.17203379
RimVyv;Řimické vyvěračky;3.983999968;0.035298533;8.43960001;5.754440002;1.53599999;118.3144;9.428571429;0.105;294.9759998;31.67604019;0.086451237;38.9011602;19.0051598;-73.01241608;-10.48211847
HvVytVod;Hvozd výtok z vodárny;3.3;0.096756697;6.615999985;3.707999992;1.19599998;124.202002;10.25;0.079999998;299;36.9064003;0.098129019;42.62800064;15.70179996;-68.71452129;-9.793200783
Spr;Špraněk;4.220000013;0.030460497;11.75333325;6.902777804;1.952222228;74.83833419;9.9;0.206666667;168.1522208;42.52572187;0.088328956;38.31577746;24.62249994;-68.08308615;-9.823548268
Des;Desná;2.466666619;0.02991098;6.161333338;2.549333318;1.918666673;14.8179999;10.375;0.198750001;36.78666671;6.468333356;0.099484923;14.9718668;9.193933296;-71.78038047;-10.60374997
Osk;Oskava;2.299999952;0.03376262;5.176363642;4.236363649;1.284545476;21.54272738;23.25;0.259999997;67.3999991;7.721363718;0.063163789;13.93472715;5.994181763;-70.91415364;-10.37282663
Rach;Rachava;5.600000009;0.026113401;29.82875013;14.59187514;3.070625022;84.17562485;9;0.144;211.4800005;21.89493728;0.141049094;64.62443781;55.19475055;-68.61836412;-9.697499426
Jav;Javoříčka;2.736363628;0.026052374;18.54000007;8.598235214;2.763529399;45.77294092;27.4;0.490000012;120.2329407;21.86794138;0.106134902;40.02364686;27.50100012;-68.33639037;-9.793200783
AndVy;Andělička vývěr;2.455555571;0.025327093;12.93272729;6.372727351;4.680000002;72.01181863;8.2;0.389999993;161.9872721;52.11018164;0.087455871;33.17818173;24.01700002;NA;NA
Npruch;Nad Průchodnicemi;3.030000043;0.046127393;17.1833334;7.327499906;6.261666636;52.09749953;100.0833333;0.589999998;121.259998;50.04841701;0.095648605;34.19533364;25.31950021;NA;NA
Chol;Cholinka;4.283333361;0.040292097;20.55083307;18.8524998;4.367500007;98.51916695;102.0833333;0.875999988;272.0583318;6.551249941;0.182269845;63.10625013;55.25058333;-8.879063959;-8.879063959
Sum;Šumice;6.299999932;0.034428141;19.97583326;13.30249993;4.398333371;74.7033329;37.44444444;0.556666659;206.2133319;36.8869163;0.170673004;50.32383347;29.0222497;-66.01494123;-9.445280601
Mir;Mírovka;3.177777767;0.025130415;14.19916662;8.362500072;3.250833293;43.62916692;38;0.386250011;125.861667;18.17950006;0.089451679;29.71624994;19.99974986;-68.82620382;-9.842123335
drenCer;drenáž čerlinka;5.904166579;0.04738835;11.13166662;7.671666622;1.501666675;107.2779166;15.26315789;0.09625;286.5458323;15.51216658;0.128557103;42.00133348;22.69166672;-72.189333;-10.35306109
mixJavSpr;mix Javoříčka + Špraněk;3.801060303;0.029215759;13.66970862;7.381530174;2.181313934;66.63103518;14.84153756;0.286672517;154.6210824;36.69251054;0.093356885;38.79803465;25.43531233;-68.15461256;-9.81497894
mixJavSprRach;mix Javoříčka + Špraněk+Rachava;4.333969823;0.028296731;18.45658782;9.517489184;2.444759309;71.82836271;13.11106768;0.244407875;171.4647035;32.30894636;0.107485003;46.44872803;34.2511097;-68.29199217;-9.780177356
PrumQB;Průměr kvartéru B;NA;0;11.94166667;14.125;1.058333333;86.875;0.063636364;0;221.2416667;10.51666667;0.144166667;60.975;34.125;NA;NA
PrumQA;PRŮMĚR KVARTÉRU (TYP A) (nejsevernější);NA;0.009286739;3.448888849;2.31925929;0.494074075;31.53185187;2.722222222;0;91.98148092;3.315518556;0.02391266;9.583925812;5.86492595;NA;NA
